Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-26,182.65912730539512,185.64066820497536,181.35719020562925,185.2828826904297,2354000,0.0,0
2020-05-27,188.68182482755387,192.66714511606483,187.26061598932245,192.36898803710938,2088800,0.0,0
2020-05-28,193.07463340677438,197.82522017622347,191.00743012173677,191.29563903808594,2096900,0.0,0
2020-05-29,190.95773817795842,197.57676201273128,190.79871903819756,196.25494384765625,2937300,0.0,0
2020-06-01,197.9345568934599,200.47880259084536,197.20903772068783,199.1967315673828,1452100,0.0,0
2020-06-02,199.4352498350544,202.0093095920302,198.4414029637989,201.43287658691406,1582800,0.0,0
2020-06-03,203.4205676552472,203.73860592901988,200.4887224565656,201.98944091796875,1405400,0.0,0
2020-06-04,201.91986591460955,202.59568966913423,198.9085111242812,199.88247680664062,1288000,0.0,0
2020-06-05,202.04907344570657,205.24926160788516,200.2700790407272,203.90756225585938,1404900,0.0,0
2020-06-08,202.24783867338817,204.12620865692833,200.67755879412132,203.57958984375,1211900,0.0,0
2020-06-09,201.7906563656127,202.42671773864848,198.77930164398566,199.4849395751953,1058900,0.0,0
2020-06-10,200.26015505451687,200.70738313704314,198.24264701331353,199.1967315673828,788100,0.0,0
2020-06-11,195.16169214638825,195.45984922071722,187.71778928623786,188.0358123779297,1241200,0.0,0
2020-06-12,190.5602085835169,192.52802118404261,186.75377316632873,190.20242309570312,1865200,0.0,0
2020-06-15,186.90283205305903,190.40117713389864,184.44802917463142,190.2620391845703,822100,0.0,0
2020-06-16,195.51947440097263,197.65625409459156,192.30935352118337,194.99273681640625,920600,0.0,0
2020-06-17,194.65484346116133,196.60278994784423,193.40260189715764,193.9889678955078,1074400,0.0,0
2020-06-18,193.174008013624,195.75801589803632,192.52801362497064,194.94305419921875,910300,0.0,0
2020-06-19,198.66997951155813,198.66997951155813,188.95015851890653,189.12905883789062,2418200,0.0,0
2020-06-22,189.9837733796329,192.25967606418476,188.2644073570637,191.07699584960938,1478500,0.0,0
2020-06-23,192.41869011760167,194.07841254492587,191.07699079798834,193.1143798828125,1267500,0.0,0
