Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-26,16.662197769347095,16.81264637002152,16.38010709145475,16.539958953857422,2209900,0.0,0
2020-05-27,17.038319195007322,17.0571239229117,16.615181431108432,16.906675338745117,2553600,0.0,0
2020-05-28,16.972497817579665,16.981901079078078,16.192045048098752,16.23906135559082,1992400,0.0,0
2020-05-29,16.050997112764673,16.2860732316827,15.721890187581748,15.985176086425781,3195800,0.0,0
2020-06-01,16.03219275648576,16.558764625238883,15.994581504996935,16.333091735839844,2415100,0.0,0
2020-06-02,16.62458463278316,16.728018706588692,15.778310901478475,16.1356258392334,3562000,0.0,0
2020-06-03,16.41771799867656,17.21697729383585,16.41771799867656,16.991304397583008,2746800,0.0,0
2020-06-04,17.00070719241664,17.54608379176175,16.633988970258862,17.480262756347656,2165600,0.0,0
2020-06-05,18.044445982016807,18.56161280052085,17.818773090661114,17.83757781982422,3207700,0.0,0
2020-06-08,18.223100909129244,18.62743214192093,18.110265370459526,18.58041763305664,2443900,0.0,0
2020-06-09,18.1760875099132,18.22310202164772,17.574293150965744,17.95981788635254,2393100,0.0,0
2020-06-10,17.978623266306226,18.27952042666473,17.311006122458313,17.799964904785156,3682100,0.0,0
2020-06-11,16.812645504882365,17.122945951992133,16.323688474595464,16.333091735839844,2801900,0.0,0
2020-06-12,16.944287042056555,17.094735614329927,16.267266673337936,16.803241729736328,3441900,0.0,0
2020-06-15,16.201448004112212,16.96309602972386,15.938163861075932,16.68100357055664,3740500,0.0,0
2020-06-16,17.301603157594034,17.376827448968804,16.45532943125574,16.953691482543945,4106900,0.0,0
2020-06-17,17.207572450229193,17.235782232225453,15.279948851032797,15.345769882202148,7882700,0.0,0
2020-06-18,15.044873491059523,15.543235571106795,14.762781933753288,15.392786979675293,4844500,0.0,0
2020-06-19,15.674877649782603,15.750101945544163,14.508900168734096,14.790990829467773,7231200,0.0,0
2020-06-22,14.574721382608088,14.631140053495377,14.076360192871844,14.367854118347168,3811500,0.0,0
2020-06-23,14.527705699024498,15.120097696819917,14.471287925945507,14.81920051574707,4616200,0.0,0
2020-06-24,14.668752230668693,14.743976527503355,13.944717252704631,13.972926139831543,5280400,0.0,0
2020-06-25,13.838938537503006,13.896361920428966,13.293420506918084,13.494400978088379,5149900,0.26,0
2020-06-26,13.341273229749076,13.523113194954528,12.881889783845612,12.920171737670898,6172300,0.0,0
2020-06-29,13.006306345957492,13.762375617612253,12.968024392179293,13.599677085876465,3654300,0.0,0
2020-06-30,13.542253271549221,13.714522514472337,13.436978130159398,13.666669845581055,3112000,0.0,0
2020-07-01,13.666669609094697,14.001637372823682,13.389125229584351,13.398695945739746,3375300,0.0,0
2020-07-02,13.628388419526573,13.886792293894358,13.3125620704418,13.341273307800293,2676500,0.0,0
2020-07-06,13.599676437139125,13.86765010080353,13.283850105356219,13.791086196899414,4540500,0.0,0
2020-07-07,13.609248113357893,13.695382739504746,13.446549577905792,13.503972053527832,3595300,0.0,0
2020-07-08,13.484831963210263,13.666671025438994,13.044589014288581,13.331704139709473,2728100,0.0,0
2020-07-09,13.293421648703031,13.293421648703031,12.489499694972217,12.585204124450684,3753400,0.0,0
2020-07-10,12.604345241362136,13.408267174898983,12.604345241362136,13.360414505004883,3075500,0.0,0
2020-07-13,13.484830856323242,13.829368430919043,13.264708943573947,13.484830856323242,3315700,0.0,0
2020-07-14,13.398696626382275,13.5135424879399,12.958453700721163,13.025446891784668,3943100,0.0,0
2020-07-15,13.590105865289704,14.690713592848041,13.561394629199201,14.604578971862793,4899700,0.0,0
2020-07-16,14.499303522824649,14.652432251356739,14.154765937233448,14.307893753051758,3163200,0.0,0
