Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-26,111.69659386163481,113.04044021717999,110.40178867805727,110.54891967773438,2112200,0.0,0
2020-05-27,111.64754862859868,113.18758217054872,109.49934616216719,112.49113464355469,1825600,0.0,0
2020-05-28,112.59960764421177,112.78699663165949,108.94063901872542,109.43376159667969,2274200,0.62,0
2020-05-29,109.77895128907755,111.75144169779021,108.89133662471988,111.39639282226562,2913300,0.0,0
2020-06-01,110.82436503875174,111.87964699899143,109.79866922771782,111.22872161865234,1209500,0.0,0
2020-06-02,111.44570849834838,115.26248016191819,110.8934135897216,115.19344329833984,3112600,0.0,0
2020-06-03,117.21523268997709,121.17994234299246,116.76156083119807,119.94713592529297,3762300,0.0,0
2020-06-04,118.22121573767494,121.17008680139871,118.22121573767494,120.69668579101562,1653200,0.0,0
2020-06-05,123.13269994321863,125.63776341466078,122.25494240109143,122.87627410888672,3549800,0.0,0
2020-06-08,123.28064954017341,123.62583385399516,121.14049927002489,122.00839233398438,1809800,0.0,0
2020-06-09,120.37122984165545,122.64945384908326,119.89782883421987,121.69279479980469,2471500,0.0,0
2020-06-10,122.48179036963617,122.86642538492046,120.31204647565828,121.18980407714844,1892700,0.0,0
2020-06-11,119.29621704824893,119.51319219354097,113.84228236203218,114.05925750732422,3210500,0.0,0
2020-06-12,117.86616397320007,118.05354544141478,113.91131868097882,116.78129577636719,3138700,0.0,0
2020-06-15,114.55238143817957,117.03771603040649,113.48723481674502,116.87005615234375,1695500,0.0,0
2020-06-16,121.92949151999417,122.63958926879664,118.5466701787768,121.00242614746094,2706300,0.0,0
2020-06-17,120.903792053486,122.03797550645572,120.17397273287344,120.84461975097656,1478900,0.0,0
2020-06-18,120.67695837383756,121.77169110334196,120.31204495585163,121.12076568603516,1248700,0.0,0
2020-06-19,122.67903836096409,122.67903836096409,118.29025028315814,118.52694702148438,4495800,0.0,0
2020-06-22,118.36914355704788,119.0693842585216,116.72211590724903,118.84254455566406,2034600,0.0,0
2020-06-23,120.81503413511822,122.79738904695778,119.30608021881258,121.55471801757812,2693900,0.0,0
2020-06-24,120.69668314023137,120.92352284374532,116.9982636931495,117.82671356201172,2102900,0.0,0
2020-06-25,118.17189637859624,118.64529737259896,115.99229544826527,118.44804382324219,1809100,0.0,0
2020-06-26,118.22121631585766,118.36914707815043,115.5287635753219,116.24872589111328,2264100,0.0,0
2020-06-29,117.27441598551285,117.6689080312895,115.49917168170408,117.36317443847656,1406200,0.0,0
2020-06-30,117.8760145981619,121.50539697665702,117.37303499959057,120.9531021118164,2400500,0.0,0
2020-07-01,120.60792148130044,120.73613064325677,118.64529572036632,118.7143325805664,1587300,0.0,0
2020-07-02,120.72628510179072,121.1207771836572,119.07924980973618,119.57237243652344,1624100,0.0,0
2020-07-06,121.2687141156104,122.79739725127641,121.18981269034093,121.91963958740234,1273300,0.0,0
2020-07-07,120.01617942980911,122.64945227796848,119.86824114660219,120.93338775634766,1920300,0.0,0
2020-07-08,121.37719267488686,121.89990141066072,119.3258009170411,121.17008209228516,1818900,0.0,0
2020-07-09,120.78544575881398,123.32009551504247,119.37511488125783,122.4817886352539,1840900,0.0,0
2020-07-10,122.6987629104069,123.35954535604608,121.12076464843709,122.78752136230469,1769000,0.0,0
2020-07-13,120.0556268122098,121.2391179961501,114.85811059775482,115.63724517822266,14320000,0.0,0
2020-07-14,114.59182912896277,116.65307793005904,112.24456080013317,116.38679504394531,6274100,0.0,0
2020-07-15,117.61960678126509,117.71822979815398,115.35123977055146,116.27831268310547,4159200,0.0,0
2020-07-16,115.11453917856822,115.29206361281777,113.32943780183095,114.38471984863281,4183100,0.0,0
2020-07-17,114.85811488167184,115.55834806947301,114.1677462526999,115.14412689208984,2709200,0.0,0
2020-07-20,115.43013039799436,116.22898654186962,113.95076270966054,115.4498519897461,3532200,0.0,0
