Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-26,166.96536016812306,167.64175726478223,164.96553192245756,166.55361938476562,4150500,0.0,0
2020-05-27,168.47501821387556,170.65129393111337,167.72999268189076,170.416015625,3174400,0.0,0
2020-05-28,170.58360754803212,171.17509627699485,166.92628120190173,168.0895233154297,4065700,0.97,0
2020-05-29,167.77406300352715,169.00631857521745,165.9700390415107,167.44874572753906,3677000,0.0,0
2020-06-01,166.95584478811566,168.05008834591382,165.39827192840949,167.09385681152344,2929800,0.0,0
2020-06-02,168.32612246807116,171.03708490899177,167.09386681310724,168.513427734375,3000000,0.0,0
2020-06-03,171.17509006876955,176.31113805103115,170.56389610194273,175.52249145507812,3897900,0.0,0
2020-06-04,173.8761978842799,175.16759933807452,172.77208664505446,173.92547607421875,2933300,0.0,0
2020-06-05,180.51066805709215,185.1636666412189,179.84031315487897,182.2062530517578,5608600,0.0,0
2020-06-08,181.34859100849832,183.34977281399296,177.3067867963725,179.08123779296875,3436600,0.0,0
2020-06-09,175.5323492007593,177.8588484534279,174.4873988235933,175.6309356689453,3569700,0.0,0
2020-06-10,175.32534221385728,176.2224129068429,172.46650004279937,172.93968200683594,3321200,0.0,0
2020-06-11,167.58677040787197,167.72478244063817,160.8931642554359,160.97201538085938,6234700,0.0,0
2020-06-12,165.82218085193895,166.16720340014854,160.15380500126463,163.82098388671875,3373000,0.0,0
2020-06-15,159.42430505255496,166.73897264250238,159.11870806409493,165.546142578125,2948600,0.0,0
2020-06-16,170.8300733881146,172.00318327485687,165.97006390553605,168.5430145263672,3554000,0.0,0
2020-06-17,169.75552018386242,171.08636218395006,168.2472406062601,168.74014282226562,3449800,0.0,0
2020-06-18,167.61634618471547,169.4499432466854,167.31074918141775,168.42471313476562,2714800,0.0,0
2020-06-19,171.06664728668264,171.06664728668264,164.43218746150825,165.46728515625,7119600,0.0,0
2020-06-22,164.68850034586552,166.453098856446,163.54496349503145,165.81231689453125,2647600,0.0,0
2020-06-23,167.95149813667544,168.82886348923864,166.837549344794,166.95584106445312,2881400,0.0,0
2020-06-24,165.32926175831986,166.55164958152537,162.6872981569177,163.19992065429688,3206300,0.0,0
